EmployeeNumber,JobRole,JobLevel,Education,EducationField,Education Label
1,Sales Executive,2,2,Life Sciences,College
2,Research Scientist,2,1,Life Sciences,Below College
4,Laboratory Technician,1,2,Other,College
5,Research Scientist,1,4,Life Sciences,Master
7,Laboratory Technician,1,1,Medical,Below College
8,Laboratory Technician,1,2,Life Sciences,College
10,Laboratory Technician,1,3,Medical,Bachelor
11,Laboratory Technician,1,1,Life Sciences,Below College
12,Manufacturing Director,3,3,Life Sciences,Bachelor
13,Healthcare Representative,2,3,Medical,Bachelor
14,Laboratory Technician,1,3,Medical,Bachelor
15,Laboratory Technician,2,2,Life Sciences,College
16,Research Scientist,1,1,Life Sciences,Below College
18,Laboratory Technician,1,2,Medical,College
19,Laboratory Technician,1,3,Life Sciences,Bachelor
20,Manufacturing Director,3,4,Life Sciences,Master
21,Research Scientist,1,2,Life Sciences,College
22,Laboratory Technician,1,2,Medical,College
23,Manager,4,4,Life Sciences,Master
24,Research Scientist,1,3,Life Sciences,Bachelor
26,Manufacturing Director,2,2,Other,College
27,Sales Representative,1,4,Life Sciences,Master
28,Research Director,3,4,Life Sciences,Master
30,Research Scientist,1,2,Life Sciences,College
31,Research Scientist,1,1,Medical,Below College
32,Manager,5,3,Other,Bachelor
33,Research Scientist,1,1,Life Sciences,Below College
35,Sales Executive,2,4,Marketing,Master
36,Healthcare Representative,3,4,Medical,Master
38,Manager,5,4,Marketing,Master
39,Laboratory Technician,1,3,Medical,Bachelor
40,Healthcare Representative,2,4,Other,Master
41,Laboratory Technician,1,2,Medical,College
42,Sales Representative,2,3,Technical Degree,Bachelor
45,Research Scientist,1,3,Medical,Bachelor
46,Research Scientist,1,2,Medical,College
47,Sales Representative,1,2,Marketing,College
49,Sales Representative,1,3,Marketing,Bachelor
51,Research Scientist,1,4,Life Sciences,Master
52,Sales Executive,2,3,Life Sciences,Bachelor
53,Laboratory Technician,1,2,Other,College
54,Laboratory Technician,1,4,Life Sciences,Master
55,Laboratory Technician,1,3,Life Sciences,Bachelor
56,Sales Executive,3,3,Life Sciences,Bachelor
57,Laboratory Technician,2,2,Medical,College
58,Research Director,5,3,Technical Degree,Bachelor
60,Sales Executive,2,4,Marketing,Master
61,Research Scientist,1,2,Life Sciences,College
62,Sales Executive,2,4,Marketing,Master
63,Laboratory Technician,1,1,Life Sciences,Below College
64,Laboratory Technician,3,2,Life Sciences,College
65,Laboratory Technician,1,4,Technical Degree,Master
68,Sales Executive,2,5,Marketing,Doctor
70,Healthcare Representative,3,2,Medical,College
72,Sales Executive,2,3,Marketing,Bachelor
73,Research Director,3,2,Life Sciences,College
74,Sales Executive,3,5,Life Sciences,Doctor
75,Laboratory Technician,1,4,Medical,Master
76,Laboratory Technician,2,4,Life Sciences,Master
77,Manufacturing Director,2,4,Life Sciences,Master
78,Manufacturing Director,2,3,Medical,Bachelor
79,Laboratory Technician,2,5,Life Sciences,Doctor
80,Research Director,5,2,Medical,College
81,Sales Executive,3,3,Life Sciences,Bachelor
83,Healthcare Representative,3,3,Technical Degree,Bachelor
84,Manager,4,3,Medical,Bachelor
85,Manufacturing Director,2,3,Life Sciences,Bachelor
86,Research Scientist,3,3,Life Sciences,Bachelor
88,Research Scientist,1,3,Medical,Bachelor
90,Research Scientist,1,3,Medical,Bachelor
91,Sales Executive,2,1,Life Sciences,Below College
94,Research Scientist,1,3,Life Sciences,Bachelor
95,Research Scientist,1,4,Medical,Master
96,Research Scientist,2,3,Life Sciences,Bachelor
